,desc,location,size,value
1055,3 Bedroom Apartment,"lavington masaduku line, Lavington, Nairobi, Nairobi",3 Bedrooms,KSh 24000000
1056,Ten 4-Bedroom Luxury Villas at Ongata Rongai,"Gataka Road 250metres from Maasai mall (Uchumi, Kajiado, Nairobi, Nairobi",4 Bedrooms,KSh 23500000
1057,4 Bedroom House For Sale In Rosslyn - 106096343,"Rosslyn Lonetree, Rosslyn, Nairobi, Rosslyn, Nairobi, Nairobi",4 Bedrooms,KSh 75000000
1058,Magnificent 4 Bedroom Town House In Loresho.,"Loresho, Loresho, Nairobi, Nairobi",4 Bedrooms,KSh 35500000
1059,4 Bedroom House in Kiambu Road,"Kiambu road, Kiambu Road, Nairobi, Nairobi",4 Bedrooms,KSh 37000000
1060,"Nairobi, Westlands, 5 Bedroom Maisonette for sale","Westlands, Westlands, Nairobi, Nairobi",5 Bedrooms,KSh 35000000
1061,Spacious Well Maintained Maisonette In Embakasi,"Baraka Estate, Embakasi, Nairobi, Nairobi",3 Bedrooms,KSh 10300000
1062,Magnificent and Ultra Modern 4 Bedroom Villa,"Kitisuru, Kitisuru, Nairobi, Nairobi",4 Bedrooms,KSh 87000000
1063,3 Bedroom Offplan Town House For Sale  in Ngong,"ngong, Ngong Road, Nairobi, Nairobi",3 Bedrooms,KSh 7800000
1064,Charming and Classic 4 Bedroom House,"Karen, Nairobi, Nairobi",4 Bedrooms,KSh 55000000
1065,5 Bedroom Town House,"Othaya road, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 75000000
1066,A 5 Bedroom Townhouse,"Ngong view, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 100000000
1067,4 Bedroom House for sale,"Galleria, Karen, Nairobi, Nairobi",4 Bedrooms,Contact seller for price
1068,4 Bedroom Maisonette in Kiamumbi,"Kiamumbi, Nairobi, Nairobi",4 Bedrooms,KSh 18000000
1069,5 Bedroom House in Lavington,"Convent Drive, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 70000000
1070,3 Bedroom House for sale in Kileleshwa,"tebere cresent, Kileleshwa, Nairobi, Nairobi",3 Bedrooms,KSh 125000000
1071,4 Bedroom House for Sale in Karen,"Near the Hub, Karen, Nairobi, Karen, Nairobi, Nairobi",4 Bedrooms,KSh 65000000
1072,Adams Arcade Townhouse 3 Bedrooms,"Ngong Road, Nairobi, Nairobi",3 Bedrooms,KSh 27000000
1073,Modern Townhouse,"kitisuru, Kitisuru, Nairobi, Nairobi",4 Bedrooms,KSh 25000000
1074,Lovely Colonial House In Muthaiga,"Muthaiga Crescent, Muthaiga, Nairobi, Nairobi",4 Bedrooms,KSh 210000000
1075,6 bedroom house for sale in Karen-3KE1370980,"Karen, Nairobi, Nairobi",6 Bedrooms,Contact seller for price
1076,"Luxury 5 Bedrooms House For Sale, Pan African insuarance","Pan African insuarance, Runda, Nairobi, Nairobi",4 Bedrooms,KSh 80000000
1077,Contemporary Luxury Ling Space,"Muthama Road (Off Mombasa Road), Syokimau, Nairobi, Nairobi",4 Bedrooms,KSh 20080000
1078,5 bedroom Townhouse for sale in Syokimau,"Mastermind, Syokimau, Nairobi, Nairobi",5 Bedrooms,KSh 18500000
1079,4 Bedroom Family Home for sale,"Karen, Nairobi, Nairobi",4 Bedrooms,KSh 55000000
1080,serene land investment,"Riverside, Riverside, Nairobi, Nairobi",1 Bedrooms,KSh 300000000
1081,"Lower Kabete, 4 Bedroom House","lower kabete, Lower Kabete, Nairobi, Nairobi",4 Bedrooms,KSh 115000000
1082,"Elegant and Luxurious 5 Bedroom Townhouses in Lavington, Nairobi","Lavington Nairobi, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 75000000
1083,Seven Bedroom Ambassadorial House at Hillview,"Hill view estate , Nairobi, Nairobi",7 Bedrooms,KSh 125000000
1084,Stunning 3 Bedroom Maisonettes In Syokimau,"Syokimau, Syokimau, Nairobi, Nairobi",3 Bedrooms,KSh 9500000
1085,A Lovely 4 Bedroom Townhouse in Westlands,"General Mathenge Drive, Westlands, Nairobi, Nairobi",4 Bedrooms,KSh 42000000
1086,Delightfully-Made House for sale,"Lavington, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 46000000
1087,"Palatial 6 Bedroom House in Karen, Bogani","Karen, Bogani, Karen, Nairobi, Nairobi",6 Bedrooms,KSh 90000000
1088,"Big 4room Maisonette, facing River","Mombasa Road, Mombasa Road, Nairobi, Nairobi",4 Bedrooms,KSh 8000000
1089,4 Bedroom Townhouse for sale in Githingiri Thika,"Githingiri area Thika, Thika Road, Nairobi, Nairobi",4 Bedrooms,KSh 22000000
1090,Ridgeways 5 Bedroom House,"Ridgeways, Nairobi, Nairobi",5 Bedrooms,KSh 80000000
1091,"Runda, 4 Bedroom Double Storey House for sale","Runda, Runda, Nairobi, Nairobi",4 Bedrooms,KSh 85000000
1092,5 Bedroom House For Sale In Runda - 105517819,"Mimosa, Runda, Nairobi, Runda, Nairobi, Nairobi",5 Bedrooms,KSh 150000000
1093,Very Spacious Luxurious 4 Bedrooms Town House  all Ensuite Sitting on 1/2 Acre with Perimetre Wall in Kitengela.,"Mombasa Road, Nairobi, Nairobi",4 Bedrooms,KSh 7500000
1094,A Homely Five Bedroom Town House  in Runda,"runda mimosa, Runda, Nairobi, Nairobi",5 Bedrooms,KSh 85000000
1095,3 Bedroom Bungalow for sale in Ruiru,"Gwa Kairu, Ruiru, Nairobi, Nairobi",3 Bedrooms,KSh 6200000
1096,"Westlands, 3 Bedroom Maisonette for sale","RHAPTA RD, Westlands, Nairobi, Nairobi",3 Bedrooms,KSh 40000000
1097,Fabulous 5 Bedrooms Town House,"Riverside Drive, Riverside, Nairobi, Nairobi",5 Bedrooms,KSh 60000000
1098,Spacious 4 Bed/bath Townhouse Loresho,"P. O. Box 1555, Loresho, Nairobi, Nairobi",4 Bedrooms,KSh 37000000
1099,Great House For Sale,"Karen, Karen, Nairobi, Nairobi",4 Bedrooms,KSh 61000000
1100,5 Bedroom House + Dsq in Karen for sale!!,"Mukinduri crescent, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 70000000
1101,Spacious 7 Bedroom Maisonette in Kitengela,"Kitengela, Kiserian, Nairobi, Nairobi",7 Bedrooms,KSh 14500000
1102,5 Bedroom House For Sale In Runda - 103102207,"In the Heart Of Runda, Runda, Nairobi, Runda, Nairobi, Nairobi",5 Bedrooms,KSh 150000000
1103,4 Bedroom Apartment,"miotoni road, Karen, Nairobi, Nairobi",4 Bedrooms,KSh 80000000
1104,Exclusive Modern 4 Bedroom Townhouse,"kitisuru, Kitisuru, Nairobi, Nairobi",4 Bedrooms,KSh 25000000
1105,Elegant 3 Bedroom House for sale in Kileleshwa (OLOITOKTOK Villas),"Methodist Ministries Kileleshwa, Kileleshwa, Nairobi, Nairobi",3 Bedrooms,KSh 43000000
1106,5 Bedroom Townhouse for sale in Kileleshwa,"Kaputei Rd, Kileleshwa, Nairobi, Nairobi",5 Bedrooms,KSh 65000000
1107,Waterfront 3 Bedroom Townhouse,"Loresho, Waiyaki Way, Nairobi, Nairobi",3 Bedrooms,KSh 31000000
1108,A Magnificent 4 Bedroom Town House for sale,"Kiambu Road, Red Hill, Nairobi, Nairobi",4 Bedrooms,KSh 75000000
1109,5 bedroom townhouse 4 SALE. Lavington,"MAGETA ROAD, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 72000000
1110,Runda 5 Bedroom House for sale 85M,"Runda, Nairobi, Nairobi",5 Bedrooms,KSh 85000000
1111,Exclusive House  in Lake View,"Lake view drive, Nairobi, Nairobi",4 Bedrooms,KSh 110000000
1112,"6 Bedroom Townhouse on Half Acre Land for sale in Nzohe Lane, Karen","Nzohe road ,Karen, Karen, Nairobi, Nairobi",6 Bedrooms,KSh 92000000
1113,Exclusive Modern 5 Bedroom Townhouse,"Westlands, Nairobi, Nairobi",5 Bedrooms,KSh 58000000
1114,Elegant Office Space for Sale in Kilimani,"Kindaruma Rd, Kilimani, Nairobi, Nairobi",1 Bedrooms,KSh 16000000
1115,4 Bedroom Townhouse in Syokimau,"Syokimau Airport road, Syokimau, Nairobi, Nairobi",4 Bedrooms,KSh 13000000
1116,Lavington 5 Bedroom (all Ensuite) Villa,"Hatheru Rd, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 60000000
1117,Charming & Extremely Spacious 4 Bedroom Townhouse in Karen,"KAREN, Karen, Nairobi, Nairobi",4 Bedrooms,KSh 95000000
1118,"4br Townhse, Kiambu road","Off Kiambu road, Kiambu Road, Nairobi, Nairobi",4 Bedrooms,KSh 37000000
1119,A 5 Bedroom Townhouse for sale at Muthaiga North,"It's along muthaiga north., Muthaiga North, Nairobi, Nairobi",5 Bedrooms,KSh 38000000
1120,4 Bedroom Family Home in Karen,"Karen, Nairobi, Nairobi",4 Bedrooms,KSh 75000000
1121,Luxurious New And Modern 5 Bedroom Villas in Kitisuru,"Kitisuru road, Kitisuru, Nairobi, Nairobi",5 Bedrooms,KSh 125000000
1122,An Elegant 5 Bedroom all En Suite Townhouse in Lavington,"Kaputei Road, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 55000000
1123,5 Bedroom Villa for sale in Lavington,"isaac gathanju road, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 85000000
1124,"House for sale: Amazing 5 Bedroom, All Ensuite, Dsq - Karen","Karen, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 75000000
1125,Quick Sale - 4 Bedroom All Ensuite Plus DSQ,"Kileleshwa, Nairobi, Nairobi",4 Bedrooms,KSh 55000000
1126,Karen Maisonette,"Karen, Nairobi, Nairobi",5 Bedrooms,KSh 85000000
1127,5 Bedroom House For Sale in Spring Valley,"Shanzu road, Spring Valley, Nairobi, Nairobi",5 Bedrooms,KSh 75000000
1128,5 Bedrooms all Ensuite at Ruiru,"RUIRU BAMBOO GARDENS, Ruiru, Nairobi, Nairobi",5 Bedrooms,KSh 26000000
