,desc,location,size,value
1214,5 Bedroom House For Sale In Muthaiga - 103462151,"Muthaiga Road, Muthaiga, Nairobi, Muthaiga, Nairobi, Nairobi",5 Bedrooms,KSh 400000000
1215,4 Bedroom Townhouse for sale in Thika,"Thika Road, Nairobi, Nairobi",4 Bedrooms,KSh 13000000
1216,5 Bedroom Townhouse for sale in Karen,"Miotoni Ln, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 75000000
1217,"Clean, Crisp And Bright Townhouse in Rosslyn","Rosslyn, Nairobi, Nairobi",5 Bedrooms,KSh 85000000
1218,"Superior 5 Bedroom Kouse For Sale, Karen","Karen, Nairobi, Nairobi",5 Bedrooms,KSh 85000000
1219,A  5  bedroom  townhouse  at  Spring  Valley.,"Spring Valley, Spring Valley, Nairobi, Nairobi",5 Bedrooms,KSh 300000
1220,5 Bedroom House For Sale In Runda - 105242426,"Runda Close to the Un, Runda, Nairobi, Runda, Nairobi, Nairobi",5 Bedrooms,KSh 110000000
1221,4 Bedroom House For Sale In Donholm (Kenya) - 3KE1368404,"Donholm, Nairobi, Nairobi",4 Bedrooms,KSh 17000000
1222,4 Bedroom House for sale in Loresho,"Loresho Close, Loresho, Nairobi, Nairobi",4 Bedrooms,KSh 60000000
1223,4 Bedroom House for Sale in Karen,"627 Langata Rd, Karen, Nairobi, Karen, Nairobi, Nairobi",4 Bedrooms,KSh 90000000
1224,4 Bedroom Townhouse for sale in Kileleshwa,"Kaputei Rd, Kileleshwa, Nairobi, Nairobi",4 Bedrooms,KSh 66000000
1225,2 Beautiful Homes in Tranquil Karen Location,"Karen, Nairobi, Nairobi",7 Bedrooms,KSh 165000000
1226,"Lovely 4 Bedroom Villa in Brookside, Westlands","Brookside, Nairobi, Nairobi",4 Bedrooms,KSh 65000000
1227,Exclusive Modern Town house,"westlands, Westlands, Nairobi, Nairobi",5 Bedrooms,KSh 58000000
1228,A 7 Bedroom Villa in Karen,"Karen Marist Lane, Karen, Nairobi, Nairobi",7 Bedrooms,KSh 140000000
1229,5 Bedroom  At  Karen Kikeni Rd,"Karen, Nairobi, Nairobi",5 Bedrooms,KSh 40000000
1230,4 Bedroom House for sale in Loresho,"Loresho Close, Loresho, Nairobi, Nairobi",4 Bedrooms,KSh 60000000
1231,Mashariki Court Annexe,"off Thika road along Kenyatta road, Thika Road, Nairobi, Nairobi",3 Bedrooms,KSh 3250000
1232,"Town House for sale, Limuru Road","Limuru Road, Limuru road, Nairobi, Nairobi",4 Bedrooms,KSh 300000000
1233,* Runda Beautiful Brand New 7 Bedroom House,"Runda close to Braeburn school,UN offices,Embassies  and shopping malls, Runda, Nairobi, Nairobi",7 Bedrooms,KSh 240000000
1234,5 Bedroom Townhouse for sale in Karen,"Nandi Rd, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 95000000
1235,"5 Br Townhouse, Lavington","Mzima Springs, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 85000000
1236,"an Inviting, Newly Built 5 Bedroom all En-suite House","Karen, Nairobi, Nairobi",4 Bedrooms,KSh 85000000
1237,Lavington Superb 5 Bedroom Townhouses,"chalbi drive, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 70000000
1238,Beautiful 4 Bedroom Hose for sale,"Galleria, Karen, Nairobi, Nairobi",4 Bedrooms,Contact seller for price
1239,Syokimau 4 Bedroom Maisonette for sale,"Syokimau, Syokimau, Nairobi, Nairobi",4 Bedrooms,KSh 13000000
1240,5 Bedroom House For Sale In Runda - 105517775,"Panafric Insurance Road, Runda, Nairobi, Runda, Nairobi, Nairobi",5 Bedrooms,KSh 160000000
1241,5  Bedroom plus Sq  Town  House  For  Sale  In  Karen,"aren Road, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 75000000
1242,Six Bedroom Townhouse for sale in Lavington,"Lavington, Lavington, Nairobi, Nairobi",6 Bedrooms,KSh 80000000
1243,Prestigious 4 Bedroom House,"karen, Karen, Nairobi, Nairobi",4 Bedrooms,Contact seller for price
1244,5 Bedroom House for sale in Runda,"Runda, Runda, Nairobi, Nairobi",5 Bedrooms,KSh 120000000
1245,Elegant 4 Bedroom Maisonette in Ruiru-Membley,"Membley, Nairobi, Nairobi",4 Bedrooms,KSh 17000000
1246,A Beautiful 3 Bedroom Maisonette in Edenvile Community,"Kiambu Road, Nairobi, Nairobi",3 Bedrooms,KSh 25000000
1247,Masterfully Designed and Luxurious Townhouse,"Karen, Nairobi, Nairobi",5 Bedrooms,KSh 110000000
1248,3 Bedroom House at Kerarapon Drive,"Kerarapon Drive, Karen, Nairobi, Nairobi",3 Bedrooms,KSh 40000000
1249,Karen - 4 Bedroom House,"Karen, Karen, Nairobi, Nairobi",4 Bedrooms,KSh 95000000
1250,Lovely Townhouse in Westlands,"Mahiga Mairu, Lavington, Nairobi, Nairobi",4 Bedrooms,KSh 45000000
1251,Prime 5 Bedroom All En-Suite,"Karen, Nairobi, Nairobi",5 Bedrooms,Contact seller for price
1252,4 Bedroom Maisonette Sigona,"Waiyaki Way, Nairobi, Nairobi",4 Bedrooms,KSh 16950000
1253,4 Bedroom Townhouse for sale in Syokimau,"Syokimau, Syokimau, Nairobi, Nairobi",4 Bedrooms,KSh 9500000
1254,Townhouse for sale,"Elmolo drive, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 52000000
1255,Spacious Home for sale -RUNDA,"Runda close to Embassies ,UN offices,International schools and shopping malls, Runda, Nairobi, Nairobi",5 Bedrooms,KSh 95000000
1256,5 Bedroom House for sale in Karen,"Karen C, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 52000000
1257,Kamulu 3bedroom Bungalows,"Kamulu police station, Kamulu, Nairobi, Nairobi",3 Bedrooms,KSh 3350000
1258,Well Maintained 3 Bedroom Maisonette In South C,"South C, South C, Nairobi, Nairobi",3 Bedrooms,KSh 13800000
1259,Laving Ton Town House for sale,"convent drive, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 65000000
1260,5 Bedroom Bungalow on 17 Ac Plot For Sell in Karen,"KAREN KIKENI CLOSE, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 220000000
1261,5 Bedroom Townhouse for sale in Syokimau,"Syokimau, Nairobi, Nairobi",5 Bedrooms,KSh 13500000
1262,4 Bedroom Townhouse I Balozi Muthaiga North,"Muthaiga North, Nairobi, Nairobi",4 Bedrooms,KSh 30000000
1263,4 Bedroom House For Sale In Karen - 103367083,"Ololua Forest, Karen, Nairobi, Karen, Nairobi, Nairobi",4 Bedrooms,KSh 68000000
1264,Lovely 5 Bedroom Townhouse Is Available for sale in Lavington,"Lavington, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 50000000
1265,4 Bedroom at Kitsuru,"kirawa road, Kitisuru, Nairobi, Nairobi",4 Bedrooms,KSh 25000000
1266,4 bedroom house in Rosslyn Estate,"Gigiri, Gigiri, Nairobi, Nairobi",4 Bedrooms,KSh 90000000
1267,A Stunning 4 Bedroom all En Suite Townhouse in Westlands,"Brookside Gardens, Brookside, Nairobi, Nairobi",4 Bedrooms,KSh 45000000
1268,4 Bedroom Traditional Home & Guest Cottage for sale,"Muthaiga North, Nairobi, Nairobi",5 Bedrooms,KSh 170000000
1269,"5 Bed House For Sale in Lower Kabete, Nairobi","Kitisuru, Kitisuru, Nairobi, Nairobi",5 Bedrooms,KSh 125000000
1270,"Luxury 5 Bedrooms House For Sale, Hekima rd","Hekima rd, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 76000000
1271,Palatial 5 Bedroom Kyuna Ambassadorial House,"Kyuna, Kyuna, Nairobi, Nairobi",5 Bedrooms,KSh 130000000
1272,House for sale,"Karen, Nairobi, Nairobi",5 Bedrooms,KSh 90000000
1273,Ambassadorial Townhouse For Sale,"Nyari, Nairobi, Nairobi",6 Bedrooms,KSh 130000000
1274,5 Bedroom Townhouse,"Westlands, Nairobi, Nairobi",5 Bedrooms,KSh 58000000
1275,Magnificent Ambassadorial House For Sale In Runda,"Runda, Nairobi, Nairobi",6 Bedrooms,KSh 140000000
1276,3 Bedroom Standalone on 1/2 an Acre for Sale in Karen,"Dagoretti Road, Karen, Nairobi, Nairobi",3 Bedrooms,KSh 55000000
1277,3 Bedroom House for sale in Lavington,"Amboseli Road, Lavington, Nairobi, Nairobi",3 Bedrooms,KSh 25000000
1278,Luxurious 4 Bedroom Double Storey,"Kiambu Road, Runda, Nairobi, Nairobi",4 Bedrooms,KSh 100000000
1279,5 Bedroom Townhouse for sale in Kileleshwa,"Kaputei Rd, Kileleshwa, Nairobi, Nairobi",5 Bedrooms,KSh 65000000
1280,Muthaiga North New House 4 Bedrooms,"Muthaiga North close  to International schools,Embassies and shopping malls, Muthaiga North, Nairobi, Nairobi",4 Bedrooms,KSh 70000000
1281,Aspire Homes on Chalbi Drive,"Lavington, Nairobi, Nairobi",4 Bedrooms,Contact seller for price
1282,Paramount Houses in Karen,"Karen, Nairobi, Nairobi",5 Bedrooms,KSh 60000000
1283,Ambassadorial House for sale,"Karen, Karen, Nairobi, Nairobi",6 Bedrooms,KSh 85000000
1284,Exclusive Modern Townhouse,"Kitisuru, Nairobi, Nairobi",4 Bedrooms,KSh 25000000
1285,Elegant 5 Bedroom Townhouse in Kileleshwa Nairobi,"Kileleshwa Nairobi, Kileleshwa, Nairobi, Nairobi",5 Bedrooms,KSh 68000000
1286,Westlands Townhouse,"Westlands, Nairobi, Nairobi",4 Bedrooms,KSh 35000000
1287,Beautiful 4 Bedroom Bungalow With Pool,"loresho crescent, Loresho, Nairobi, Nairobi",4 Bedrooms,KSh 120000000
1288,5 Bedroom House For Sale In Runda - 105518364,"Panafric Insurance Road, Runda, Nairobi, Runda, Nairobi, Nairobi",5 Bedrooms,KSh 45000000
1289,"4 Br Townhouse, Kiambu Road","kiambu road, Kiambu Road, Nairobi, Nairobi",4 Bedrooms,KSh 32000000
1290,Apartment at Nairobi,"Lavington, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 100000000
1291,Town House 5 Bedroom All Ensuite for sale Kileleshwa,"Kileleshwa, Nairobi, Nairobi",5 Bedrooms,KSh 45000000
1292,"Runda, Ambassadorial 5 Bedroom House","Runda close to Embassies ,UN offices,International schools and shopping malls, Runda, Nairobi, Nairobi",5 Bedrooms,KSh 140000000
1293,"Kilimani, 4 Bedroom Town House for sale","Kilimani, Kilimani, Nairobi, Nairobi",4 Bedrooms,KSh 51000000
1294,"5 Br House, Runda","Runda, Runda, Nairobi, Nairobi",5 Bedrooms,KSh 85000000
1295,5 Bedroom Townhouse for sale in Lavington,"Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 48000000
1296,4 Bedroom House For Sale In Runda - 103370643,"Runda Close To Un, Runda, Nairobi, Runda, Nairobi, Nairobi",4 Bedrooms,KSh 140000000
1297,A Spacious Town House5 Bedroom All Ensuite 2dsq Family Room Study A Big Store A Terrace For Sale In Lavington,"Lavington, Lavington, Nairobi, Nairobi",3 Bedrooms,KSh 45000000
1298,Five Star Meadows,"kiambu road, Kiambu Road, Nairobi, Nairobi",4 Bedrooms,KSh 45000000
1299,A 4 Bdrm Ambassadorial House,"It's along meadows., Runda, Nairobi, Nairobi",4 Bedrooms,KSh 135000000
1300,Luxury Harbor in Karen,"Karen, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 68000000
1301,A Spacious 4 Bedroom Maisonette for sale in Parklands,"Parklands, Parklands, Nairobi, Nairobi",4 Bedrooms,KSh 28000000
1302,3 Bedroom Townhouse in Kiambu Road Forsale,"Kiambu road, Kiambu Road, Nairobi, Nairobi",3 Bedrooms,KSh 38000000
1303,A Wonderful 4 Bedroom House in Muthaiga,"Muthaiga, Nairobi, Nairobi",4 Bedrooms,KSh 280000000
1304,Magnificent 5 Bedroomed Home on half acre in Karen,"Karen, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 80000000
1305,Country Living at Its Best!,"Korompoi, Kajiado, Nairobi, Nairobi",5 Bedrooms,KSh 18000000
1306,"Five Bedrooms Townhouse with Modern Finishing, Mature Garden in Karen","Langata road, Nairobi, Nairobi",5 Bedrooms,KSh 80000000
1307,Charming 4 Bedroom Home - Windsor Park,"Windsor Park, Ridgeways, Nairobi, Nairobi",4 Bedrooms,KSh 65000000
1308,Double Story House at Niarobi,"Karen road, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 100000000
1309,5 Bedroom Townhouse for sale in Lavington,"isaac gathanju road, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 70000000
1310,3 Bedroom Apartments for sale in Kilimani,"Kilimani, Nairobi, Nairobi",3 Bedrooms,KSh 23500000
1311,5 Bedroom House For Sale In Runda - 106278123,"Runda Near to the Un, Runda, Nairobi, Runda, Nairobi, Nairobi",5 Bedrooms,KSh 150000000
1312,4 Bedroom House For Sale In Balozi,"Balozi Nairobi, Riruta, Nairobi, Nairobi",4 Bedrooms,KSh 33000000
1313,House for sale in Gigiri,"Gigiri, Gigiri, Nairobi, Nairobi",4 Bedrooms,KSh 170000000
1314,3&4 Bedroom Town Houses In Syokimau,"Syokimau, Syokimau, Nairobi, Nairobi",2 Bedrooms,KSh 9800000
1315,An Exclusive And Prestigious Modern 4 Bedroom Villa in Kitisuru,"Kitisuru road, Kitisuru, Nairobi, Nairobi",4 Bedrooms,KSh 140000000
1316,5 Bedroom Townhouse for sale in Lavington,"Convent Rd, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 76000000
1317,3 Bedroom Massionate Plus Dsq For Sale In Syokimau,"Mombasa road,  Mlolongo, Nairobi, Nairobi",3 Bedrooms,KSh 13000000
1318,4 Bedroom Elegant Townhouses in Kiambu Road,"Njathaini Road, Kiambu Road, Nairobi, Nairobi",4 Bedrooms,KSh 38000000
1319,Gorgeous 4 Bedroom House In Karen Kuwinda,"Karen kuwinda, Karen, Nairobi, Nairobi",4 Bedrooms,KSh 85000000
1320,"5 Br House, Runda","Runda, Runda, Nairobi, Nairobi",5 Bedrooms,KSh 230000000
1321,5  bedroom  townhouse  for  sale  in  westlands,"Brookside, Westlands, Nairobi, Nairobi",5 Bedrooms,KSh 65000000
1322,2 Massionate for sale  in Kasarani at Sports View,"THIKA ROAD, Kasarani, Nairobi, Nairobi",6 Bedrooms,KSh 20000000
1323,5 Bedroom Townhouse for sale in Westlands,"Grevillea Grove, Westlands, Nairobi, Nairobi",5 Bedrooms,KSh 55000000
1324,Luxurious New And Modern 4 Bedroom Townhouses in Lavington,"Riara Road, Riara, Nairobi, Nairobi",4 Bedrooms,KSh 60000000
1325,4 Bedroom Townhouse for sale in Westlands,"Grevillea Grove, Westlands, Nairobi, Nairobi",4 Bedrooms,KSh 60000000
1326,1 Acre Serviced Land with 3 Houses Lavington,"Lavington, Lavington, Nairobi, Nairobi",1 Bedrooms,KSh 250000000
1327,A 3 Bedroom house with DSQ For Sale in Syokimau,"Sykimau, Syokimau, Nairobi, Nairobi",4 Bedrooms,KSh 13000000
1328,Muthaiga North 5 Bedroom,"Muthaiga North, Nairobi, Nairobi",5 Bedrooms,KSh 75000000
1329,Lavington - 5 Bedroom Townhouse in a Gated Community of 8 Units,"Lavington close to International schools,shopping malls,IOM offices and Embassies., Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 55000000
1330,5 Bedroom Townhouse For Sale In Lavington (Kenya) - 3KE1365606,"Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 58500000
1331,4 Bedroom Town House Plus Dsq.,"Siaya Road, Kileleshwa, Nairobi, Nairobi",4 Bedrooms,KSh 45000000
1332,Affordable 3 Bedroom Bungalows,"Joska, Nairobi, Nairobi",3 Bedrooms,KSh 2950000
1333,The Crown Jewel House in Nyari,"Nyari, Nairobi, Nairobi",6 Bedrooms,KSh 135000000
1334,Exclusive Modern Townhouse,"Amara Ridge, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 110000000
1335,4 Bedroom All En-Suite House With Sq in Karen Near Hardy,"Kibiko Road, Karen, Nairobi, Nairobi",4 Bedrooms,KSh 65000000
1336,4 Bedroom House For Sale In Karen (Kenya) - 3KE1377553,"Karen, Nairobi, Nairobi",4 Bedrooms,KSh 85000000
1337,Newly Built 5 Bedroom Town Houses In Loresho.,"Loresho, Loresho, Nairobi, Nairobi",5 Bedrooms,KSh 50000000
1338,Cosy & Spacious 5 Bedroom House,"Karen Road, Karen, Nairobi, Nairobi",5 Bedrooms,Contact seller for price
1339,Gated Community With 10 Houses,"Karen, Karen, Nairobi, Nairobi",4 Bedrooms,KSh 65000000
1340,Modern Townhouse Westlands 58m,"Grevillea Grove , Westlands, Westlands, Nairobi, Nairobi",5 Bedrooms,KSh 58000000
1341,"4 Bed Triplex Townhouse For Sale in Westlands, Nairobi","NairobiSpring Valley, Nairobi, Spring Valley, Nairobi, Nairobi",4 Bedrooms,KSh 79000000
1342,5 Bedroom Townhouse for sale in Lavington,"Amboseli, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 70000000
1343,"Deluxe 4 Bedroom Bungalow on One Acre for sale in Karen, Mukoma Road,","Mukoma road, Karen, Nairobi, Nairobi",3 Bedrooms,KSh 80000000
1344,3 Bedroom House for sale in Dagoretti,"Dagoretti, Dagoretti Road, Nairobi, Nairobi",3 Bedrooms,KSh 11000000
1345,Affordable Homes at Niarobi,"Joska, Kangundo rd, Joska, Nairobi, Nairobi",3 Bedrooms,KSh 2950000
1346,Donholm Four Bedroom Maisonettes at Harrambee SACCO Estate,"Outer Ring Road, Donholm, Nairobi, Nairobi",4 Bedrooms,KSh 11000000
1347,4 Bedroom House For Sale In South C (Kenya) - 3KE1366684,"South C, Nairobi, Nairobi",4 Bedrooms,KSh 14000000
1348,3 Bedroom House For Sale In Uhuru,"Buru Buru Rd, Riruta, Nairobi, Nairobi",3 Bedrooms,KSh 5700000
1349,4 Bedroom Lovely Townhouse in Karen,"Warai Road, Karen, Nairobi, Nairobi",4 Bedrooms,KSh 67000000
1350,4 Bedroom Townhouse for sale in Loresho,"Loresho, Nairobi, Nairobi",4 Bedrooms,KSh 32800000
1351,4 Bedroom Villa in Nairobi,"Njubi road, Lavington, Nairobi, Nairobi",4 Bedrooms,KSh 70000000
1352,Masterfully Designed and Luxurious Townhouse,"Westlands, Nairobi, Nairobi",5 Bedrooms,KSh 58000000
1353,5 Bedroom Townhouse in Karen,"karen, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 68000000
1354,3 Bedroom Town House in Kilimani,"ndemi lane, Kilimani, Nairobi, Nairobi",3 Bedrooms,KSh 31000000
1355,A 4 Bedroom With A Dsq  House for sale at Eden Ville Kiambu Rd,"Kiambu road, Kiambu Road, Nairobi, Nairobi",4 Bedrooms,KSh 31500000
1356,5 Bedroom Townhouse for sale in Kilimani,"Riara Road, Riara, Nairobi, Nairobi",5 Bedrooms,KSh 37000000
1357,Ruaraka 3 Bedroom Apartment for sale,"Ruaraka, Ruaraka, Nairobi, Nairobi",3 Bedrooms,KSh 8500000
1358,Serene and Old 2 Bedroom Bungalow in Kibera,"kibera, kibera, Nairobi, Nairobi",2 Bedrooms,KSh 5000000
1359,Ridge Way Ambassandorial House,"Ridgeways, Nairobi, Nairobi",5 Bedrooms,KSh 100000000
1360,5 Bedrooms House In Karen,"Karen, Riruta, Nairobi, Nairobi",5 Bedrooms,KSh 70000000
1361,A 5 Bedroom Townhouse,"It's off Amboseli rd., Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 65000000
1362,Joska 3 Bedroom Bungalows,"Joska, Nairobi, Nairobi",3 Bedrooms,KSh 3350000
1363,3 Bedroom House in Ngumo,"Highview Estate phase II, Ngummo, Nairobi, Nairobi",3 Bedrooms,KSh 17000000
1364,5 Bedroom Luxurious House,"siaya road, Kileleshwa, Nairobi, Nairobi",5 Bedrooms,KSh 285000000
1365,FOUR BEDROOMS  STANDALONE HOUSE IN RUNDA FOR SALE,"Runda road, Runda, Nairobi, Nairobi",4 Bedrooms,KSh 95000000
1366,Impeccable 5 Bedroom Town- House in Lavington,"Lavington, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 80000000
1367,Beautiful 4 Bedroom House in Kiambu Road,"Kiambu road, Kiambu Road, Nairobi, Nairobi",4 Bedrooms,KSh 30000000
1368,4 Bedroom Town House All Ensuite for sale in Kiambu Road,"kiambu road, Kiambu Road, Nairobi, Nairobi",4 Bedrooms,KSh 35000000
1369,Spectacular Home in Karen,"Karen, Nairobi, Nairobi",5 Bedrooms,KSh 75000000
1370,Lavish Town House For Sale,"loresho ridge, Loresho, Nairobi, Nairobi",4 Bedrooms,KSh 32500000
1371,Cosmopolitan 4 Bedroom Townhouse in Karen,"Karen, Karen, Nairobi, Nairobi",4 Bedrooms,KSh 65000000
1372,Mountain View Double Storey for sale,"Mountain View, Mountain View, Nairobi, Nairobi",4 Bedrooms,KSh 45000000
1373,5 Bedroom Townhouse for sale in Lavington,"Mugumo Rd, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 82000000
1374,The Ambassadorial 6 Bedroom With Sq,"Runda, Runda, Nairobi, Nairobi",6 Bedrooms,KSh 140000000
1375,Four Bedroom House with a Sq  in Kerarapon.,"Kerarapon, Kerarapon, Nairobi, Nairobi",4 Bedrooms,KSh 33000000
1376,5 Bedroom House For Sale In Muthaiga,"Muthaiga Road, Muthaiga, Nairobi, Nairobi",5 Bedrooms,KSh 400000000
1377,"5 BEDROOM, 3 LEVEL TOWN HOUSE ON SALE  IN LAVINGTON","Lavington, Lavington, Nairobi, Nairobi",6 Bedrooms,KSh 80000000
1378,"Traditional Home & Guest Cottage on Tranquil 3.2 Acres, Karen","Karen, Nairobi, Nairobi",6 Bedrooms,KSh 185000000
1379,Exclusive Modern Townhouse,"Amara Ridge, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 110000000
1380,"Juja Plains View Estate, 3 Bedroom Bungalows in a Gated Community Ready for Occupation.","Juja Farm Road, Ruiru, Nairobi, Nairobi",3 Bedrooms,KSh 5500000
1381,4 Bedroom House for Sale in Karen,"Near Galleria, Karen, Nairobi, Karen, Nairobi, Nairobi",4 Bedrooms,KSh 73000000
1382,Exclusive Modern Townhouse,"Amara Ridge, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 110000000
1383,5 Bedroom House at Nyari Estate,"Red Hill Road, Nyari, Nairobi, Nairobi",5 Bedrooms,KSh 550000000
1384,Modern One Bedroom Apartment in Westlands,"Westland road, Westlands, Nairobi, Nairobi",1 Bedrooms,KSh 13000000
1385,Karen Bogani Road- 4 Bedroom All Ensuite. On Half Acre,"Karen Bogani rd, Karen, Nairobi, Nairobi",4 Bedrooms,KSh 60000000
1386,3 Bedroom House For Sale In Mlolongo,"Off Mombasa Road, Riruta, Nairobi, Nairobi",3 Bedrooms,KSh 8000000
1387,4 Bedroom House for sale in Loresho,"Loresho Close, Loresho, Nairobi, Nairobi",4 Bedrooms,KSh 60000000
1388,Brand New Houses in Lavington,"Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 65000000
1389,5 Bedroom Townhouse for sale in Lavington,"Mugumo Rd, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 82000000
1390,"4 Bedroom Town Houses 3 Ensuite plus Dsq Town House - Brookside, Westlands","Brookside, Nairobi, Nairobi",4 Bedrooms,KSh 55000000
1391,A New Townhouses for sale in Lavington 66million,"Lavington, Lavington, Nairobi, Nairobi",4 Bedrooms,KSh 66000000
1392,4 Bedroom House For Sale In Karen Ngong Road,"Karen ngong road, Karen, Nairobi, Nairobi",4 Bedrooms,KSh 60000000
1393,6 Bedroom Townhouse for Sale in Its Own Compound in Kileleshwa,"Mwingi, Kileleshwa, Nairobi, Nairobi",6 Bedrooms,KSh 70000000
1394,4 Bedroom Townhouse for sale in Westlands,"Brookside Drive, Westlands, Nairobi, Nairobi",4 Bedrooms,KSh 47000000
1395,4 Bedroom House For Sale In Karen (Kenya) - 3KE1364360,"Karen, Nairobi, Nairobi",4 Bedrooms,KSh 158500000
1396,Executive Double Storey,"Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 250000000
1397,"4 Bedroom Home, Ndege Road","Karen, Nairobi, Nairobi",4 Bedrooms,KSh 115000000
1398,Town House for sale on Elmolo Drive,"Elmolo drive, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 65000000
1399,Modern 4 Bedroom Townhouse,"Limuru road, Red Hill, Nairobi, Nairobi",4 Bedrooms,KSh 32000000
1400,5 Bedroom House for sale in Lower Kabete,"Lower Kabete Road, Lower Kabete, Nairobi, Nairobi",5 Bedrooms,KSh 75000000
1401,Tigoni Beautiful 4 Bedroom House on 2.56 Acres Prime Land,"Tigoni Beautiful 4 bedroom house on 2.56 Acres Prime Land-80M, Tigoni, Nairobi, Nairobi",5 Bedrooms,KSh 80000000
1402,Prime 5Acre Land for sale in Syokimau on main Road,"Syokimau Katani Road, Syokimau, Nairobi, Nairobi",1 Bedrooms,KSh 100000000
1403,3 Bedroom House In Syokimau,"Syokimau, Nairobi, Nairobi",3 Bedrooms,KSh 10500000
1404,5 Bedroom House for sale in Kyuna,"Kyuna, Nairobi, Nairobi",5 Bedrooms,KSh 95000000
1405,Nairobi West Superb 5 Bed Room Maisonette for sale,"Nairobi West, Nairobi West, Nairobi, Nairobi",5 Bedrooms,KSh 35000000
1406,House for sale,"South C, Nairobi, Nairobi",3 Bedrooms,KSh 15000000
1407,Kitusuru 4 Bedroom Town House,"Kitusuru, Nairobi, Kitisuru, Nairobi, Nairobi",4 Bedrooms,KSh 50000000
1408,"5 Bedroom House, Runda","Runda, Nairobi, Nairobi",5 Bedrooms,KSh 85000000
1409,14 Bedroom House For Sale In Runda - 106271539,"Runda Near to the Un, Runda, Nairobi, Runda, Nairobi, Nairobi",14 Bedrooms,KSh 150000000
1410,"Luxury 5 Bedrooms House For Sale, Marist lane","Marist lane, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 135000000
1411,6 Bedroom House For Sale In Karen (Kenya) - 3KE1370980,"Karen, Nairobi, Nairobi",6 Bedrooms,Contact seller for price
1412,Town House For Sale In Muthaiga,"north pipeline estate, Muthaiga, Nairobi, Nairobi",5 Bedrooms,KSh 39500000
1413,"4 Bed Bungalow For Sale in Lower Kabete, Nairobi","Kitusuru, Nairobi Kenya, Kitisuru, Nairobi, Nairobi",4 Bedrooms,KSh 120000000
1414,7 Bedroom House,"dog unit, Langata, Nairobi, Nairobi",7 Bedrooms,KSh 27000000
1415,5 Bedroom (all Ensuite) Villas in Karen,"Karen, Nairobi, Nairobi",5 Bedrooms,KSh 100000000
1416,Beautiful Town House on Elmollo Drive,"Elmollo drive, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 70000000
1417,Elegant 4 Bedroom Villa- Karen,"Ndege Gardens, Karen, Nairobi, Nairobi",4 Bedrooms,KSh 85000000
1418,Wonderful 4 Bedroom Maisonette In Syokimau,"Syokimau, Syokimau, Nairobi, Nairobi",4 Bedrooms,KSh 10500000
1419,5 Bedroom Townhouse for sale in Karen,"Miotoni Ln, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 90000000
1420,Lavish 5 Bedroom Townhouse,"Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 70000000
1421,Stunning 5 Bedroom plus 2 Sqs Standalone House in Runda.,"Runda, Runda, Nairobi, Nairobi",5 Bedrooms,KSh 80000000
1422,4 Bedroom Terrace Town Houses In Ruiru,"Syokimau, Syokimau, Nairobi, Nairobi",4 Bedrooms,KSh 8000000
1423,4 Bedroom Town House at Kilimani,"Hurlingham, Kilimani, Nairobi, Nairobi",4 Bedrooms,KSh 43000000
1424,5 Bedroom House For Sale In Runda - 104056712,"Runda Close to Un and Us Embassy, , Runda, Nairobi, Runda, Nairobi, Nairobi",5 Bedrooms,KSh 140000000
